Repetitions,Load,Query 1,Query 2,Query 3,Query 4,Query 5a,Query 6,Query 7,,,Query 5b
1,28294468,28,139,291,1222,361519,584,160,,,241
2,,30,186,382,1220,365550,545,155,,,239
3,,29,155,324,1226,368809,558,208,,,245
4,,29,124,266,1325,360753,543,169,,,259
5,,40,178,297,1216,365927,566,154,,,233
6,,29,120,286,1204,361960,571,178,,,231
7,,28,130,278,1215,367320,556,143,,,231
8,,26,139,255,1213,364287,584,154,,,228
9,,28,138,273,1205,363839,551,170,,,232
10,,27,117,258,1207,369603,534,156,Total,,241
AVG,28294468,29.4,142.6,291,1225.3,364956.7,559.2,164.7,28661836.9,,238
