Repetitions,Load,Query 1,Query 2,Query 3,Query 4,Query 5a,Query 6,Query 7,,,Query 5b
1,31234505,89336,35,343,3679,229362,2694,40,,,72
2,,89689,28,321,3850,228837,2675,40,,,99
3,,89342,32,329,3696,227458,2668,39,,,37
4,,89845,27,318,3708,228371,2712,39,,,81
5,,90199,31,321,3655,228589,2566,74,,,51
6,,88980,26,325,3705,228537,2509,36,,,103
7,,88779,32,367,3715,229513,2492,37,,,35
8,,88338,27,347,3715,228953,2416,36,,,54
9,,88709,31,325,3666,228753,2378,36,,,32
10,,89259,27,354,3693,227030,2362,37,Total,,42
AVG,31234505,89247.6,29.6,335,3708.2,228540.3,2547.2,41.4,31558954.3,,60.6
