Repetitions,Load,Query 1,Query 2,Query 3,Query 4,Query 5a,Query 6,Query 7,,,Query 5b
1,2778242,49,199,317,1091,540,2156,124,,,35
2,,47,188,319,1072,517,2106,118,,,43
3,,48,170,306,999,494,2194,110,,,38
4,,47,170,302,1016,498,2112,113,,,37
5,,49,172,306,1049,499,2145,144,,,35
6,,48,151,302,1029,500,2120,108,,,37
7,,52,161,299,1066,533,2108,120,,,40
8,,47,154,318,1059,504,2114,131,,,35
9,,48,156,298,1050,527,2106,110,,,45
10,,49,166,292,1039,493,2118,106,Total,,40
AVG,2778242,48.4,168.7,305.9,1047,510.5,2127.9,118.4,2782568.8,,38.5
