Repetitions,Load,Query 1,Query 2,Query 3,Query 4,Query 5a,Query 6,Query 7,,,Query 5b
1,1778333,217,85,442,604,239099,55,23,,,262
2,,210,89,389,465,238119,55,20,,,281
3,,215,85,372,602,237652,56,18,,,217
4,,212,89,369,600,236969,55,20,,,277
5,,217,89,378,602,237211,56,21,,,218
6,,212,93,387,481,236904,55,20,,,235
7,,212,89,375,461,237054,55,20,,,230
8,,207,87,366,460,236614,53,19,,,280
9,,210,89,377,459,236842,54,21,,,301
10,,209,87,383,461,237395,55,20,Total,,225
AVG,1778333,212.1,88.2,383.8,519.5,237385.9,54.9,20.2,2016997.6,,252.6
